name,type,unit,s_unit,raw_min,d_f_min,raw_max,d_f_max,raw_default,d_f_default,q_factor
automatic_sp_privileges,boolean,1,,0,0,1,1,0,0,1
back_log,integer,1,,1,0,60000,60,4030,4,1000
binlog_cache_size,integer,1024,KB,4096,0,10485760,640,32768,2,16384
binlog_group_commit_sync_delay,integer,1,microsecond,0,0,1000000,200,0,0,5000
binlog_group_commit_sync_no_delay_count,integer,1,,0,0,1000000,1000,0,0,1000
binlog_rows_query_log_events,boolean,1,,0,0,1,1,1,1,1
binlog_stmt_cache_size,integer,1024,KB,4096,0,10485760,640,32768,2,16384
bulk_insert_buffer_size,integer,1048576,MB,0,0,1073741824,256,8388608,2,4194304
default_week_format,integer,1,,0,0,7,7,0,0,1
div_precision_increment,integer,1,,0,0,30,30,4,4,1
end_markers_in_json,boolean,1,,0,0,1,1,1,1,1
eq_range_index_dive_limit,integer,1,,0,0,10000,100,200,2,100
expire_logs_days,integer,1,,0,0,7,7,0,0,1
explicit_defaults_for_timestamp,boolean,1,,0,0,1,1,1,1,1
flush_time,integer,1,second,0,0,180,18,0,0,10
ft_min_word_len,integer,1,,1,1,16,16,4,4,1
ft_query_expansion_limit,integer,1,,0,0,1000,100,20,2,10
general_log,boolean,1,,0,0,1,1,1,1,1
group_concat_max_len,integer,1,,4,0,4096,128,1024,32,32
innodb_adaptive_hash_index_parts,integer,1,,1,0,512,64,8,1,8
innodb_adaptive_max_sleep_delay,integer,1,microsecond,0,0,1000000,100,150000,15,10000
innodb_autoextend_increment,integer,1,,1,1,1000,1000,64,64,1
innodb_buffer_pool_size,integer,1073741824,GB,1073741824,1,17179869184,16,20401094656,1,1073741824
innodb_change_buffer_max_size,integer,1,,0,0,50,50,25,25,1
innodb_cmp_per_index_enabled,boolean,1,,0,0,1,1,1,1,1
innodb_commit_concurrency,integer,1,,0,0,1000,100,0,0,10
innodb_compression_failure_threshold_pct,integer,1,,0,0,100,100,5,5,1
innodb_compression_level,integer,1,,0,0,9,9,6,6,1
innodb_compression_pad_pct_max,integer,1,,0,0,75,75,50,50,1
innodb_concurrency_tickets,integer,1,,1,0,100000,100,5000,5,1000
innodb_deadlock_detect,boolean,1,,0,0,1,1,0,0,1
innodb_disable_sort_file_cache,boolean,1,,0,0,1,1,1,1,1
innodb_file_per_table,boolean,1,,0,0,1,1,0,0,1
innodb_fill_factor,integer,1,,10,1,100,10,100,10,10
innodb_flush_sync,boolean,1,,0,0,1,1,0,0,1
innodb_ft_cache_size,integer,1048576,MB,1600000,0,79691776,38,8000000,4,2097152
innodb_ft_enable_diag_print,boolean,1,,0,0,1,1,1,1,1
innodb_ft_enable_stopword,boolean,1,,0,0,1,1,0,0,1
innodb_ft_max_token_size,integer,1,,10,10,252,252,84,84,1
innodb_ft_min_token_size,integer,1,,0,0,16,16,3,3,1
innodb_ft_num_word_optimize,integer,1,,1000,1,10000,10,2000,2,1000
innodb_ft_result_cache_limit,integer,1048576,MB,1000000,0,1073741824,256,2000000000,477,4194304
innodb_ft_sort_pll_degree,integer,1,,1,1,32,32,2,2,1
innodb_ft_total_cache_size,integer,1048576,MB,32505856,1,1300234240,40,640000000,20,32505856
innodb_io_capacity,integer,1,,100,1,10000,100,200,2,100
innodb_io_capacity_max,integer,1,,100,1,100000,1000,10000,100,100
innodb_log_buffer_size,integer,1048576,MB,1048576,0,1073741824,256,16777216,4,4194304
innodb_log_file_size,integer,1048576,MB,4194304,1,1073741824,256,536870912,128,4194304
innodb_log_write_ahead_size,integer,1,,512,1,16384,32,8192,16,512
innodb_lru_scan_depth,integer,1,,100,1,10000,100,1024,10,100
innodb_max_dirty_pages_pct,float,1,,0,0,99.99,99,75,75,1
innodb_max_dirty_pages_pct_lwm,float,1,,0,0,99.99,99,0,0,1
innodb_max_purge_lag,integer,1,,0,0,100000,100,0,0,1000
innodb_max_purge_lag_delay,integer,1,microsecond,0,0,10000000,10,0,0,1000000
innodb_max_undo_log_size,integer,1073741824,GB,10485760,0,17179869184,16,1073741824,1,1073741824
innodb_old_blocks_time,integer,1,milliseconds,0,0,60000,120,1000,2,500
innodb_online_alter_log_max_size,integer,1048576,MB,65536,0,1073741824,256,134217728,32,4194304
innodb_open_files,integer,1,,10,0,100000,100,300,0,1000
innodb_optimize_fulltext_only,boolean,1,,0,0,1,1,1,1,1
innodb_page_cleaners,integer,1,,1,1,64,64,8,8,1
innodb_print_all_deadlocks,boolean,1,,0,0,1,1,1,1,1
innodb_purge_batch_size,integer,1,,1,0,5000,50,300,3,100
innodb_purge_rseg_truncate_frequency,integer,1,,1,1,128,128,128,128,1
innodb_purge_threads,integer,1,,1,1,32,32,4,4,1
innodb_random_read_ahead,boolean,1,,0,0,1,1,1,1,1
innodb_read_ahead_threshold,integer,1,,0,0,64,64,56,56,1
innodb_read_io_threads,integer,1,,1,1,64,64,4,4,1
innodb_replication_delay,integer,1,milliseconds,0,0,60000,120,0,0,500
innodb_rollback_on_timeout,boolean,1,,0,0,1,1,1,1,1
innodb_rollback_segments,integer,1,,1,1,128,128,128,128,1
innodb_sort_buffer_size,integer,1048576,MB,65536,0,67108864,16,1048576,0,4194304
innodb_spin_wait_delay,integer,1,,0,0,200,20,6,0,10
innodb_stats_auto_recalc,boolean,1,,0,0,1,1,0,0,1
