knob_name,type,description
data_directory,string,Specifies the directory to use for data storage. This parameter can only be set at server start.
config_file,string,Specifies the main server configuration file (customarily calledpostgresql.conf). This parameter can only be set on thepostgrescommand line.
hba_file,string,Specifies the configuration file for host-based authentication (customarily calledpg_hba.conf). This parameter can only be set at server start.
ident_file,string,Specifies the configuration file for user name mapping (customarily calledpg_ident.conf). This parameter can only be set at server start. See alsoSection 20.2.
external_pid_file,string,Specifies the name of an additional process-ID (PID) file that the server should create for use by server administration programs. This parameter can only be set at server start.
listen_addresses,string,"Specifies the TCP/IP address(es) on which the server is to listen for connections from client applications. The value takes the form of a comma-separated list of host names and/or numeric IP addresses. The special entry*corresponds to all available IP interfaces. The entry0.0.0.0allows listening for all IPv4 addresses and::allows listening for all IPv6 addresses. If the list is empty, the server does not listen on any IP interface at all, in which case only Unix-domain sockets can be used to connect to it. If the list is not empty, the server will start if it can listen on at least one TCP/IP address. A warning will be emitted for any TCP/IP address which cannot be opened. The default value islocalhost, which allows only local TCP/IP“loopback”connections to be made.While client authentication (Chapter 20) allows fine-grained control over who can access the server,listen_addressescontrols which interfaces accept connection attempts, which can help prevent repeated malicious connection requests on insecure network interfaces. This parameter can only be set at server start."
port,integer,The TCP port the server listens on; 5432 by default. Note that the same port number is used for all IP addresses the server listens on. This parameter can only be set at server start.
max_connections,integer,"Determines the maximum number of concurrent connections to the database server. The default is typically 100 connections, but might be less if your kernel settings will not support it (as determined duringinitdb). This parameter can only be set at server start.PostgreSQL sizes certain resources based directly on the value ofmax_connections. Increasing its value leads to higher allocation of those resources, including shared memory.When running a standby server, you must set this parameter to the same or higher value than on the primary server. Otherwise, queries will not be allowed in the standby server."
reserved_connections,integer,"Determines the number of connection“slots”that are reserved for connections by roles with privileges of thepg_use_reserved_connectionsrole. Whenever the number of free connection slots is greater thansuperuser_reserved_connectionsbut less than or equal to the sum ofsuperuser_reserved_connectionsandreserved_connections, new connections will be accepted only for superusers and roles with privileges ofpg_use_reserved_connections. Ifsuperuser_reserved_connectionsor fewer connection slots are available, new connections will be accepted only for superusers.The default value is zero connections. The value must be less thanmax_connectionsminussuperuser_reserved_connections. This parameter can only be set at server start."
superuser_reserved_connections,integer,"Determines the number of connection“slots”that are reserved for connections byPostgreSQLsuperusers. At mostmax_connectionsconnections can ever be active simultaneously. Whenever the number of active concurrent connections is at leastmax_connectionsminussuperuser_reserved_connections, new connections will be accepted only for superusers. The connection slots reserved by this parameter are intended as final reserve for emergency use after the slots reserved byreserved_connectionshave been exhausted.The default value is three connections. The value must be less thanmax_connectionsminusreserved_connections. This parameter can only be set at server start."
unix_socket_directories,string,"Specifies the directory of the Unix-domain socket(s) on which the server is to listen for connections from client applications. Multiple sockets can be created by listing multiple directories separated by commas. Whitespace between entries is ignored; surround a directory name with double quotes if you need to include whitespace or commas in the name. An empty value specifies not listening on any Unix-domain sockets, in which case only TCP/IP sockets can be used to connect to the server.A value that starts with@specifies that a Unix-domain socket in the abstract namespace should be created (currently supported on Linux only). In that case, this value does not specify a“directory”but a prefix from which the actual socket name is computed in the same manner as for the file-system namespace. While the abstract socket name prefix can be chosen freely, since it is not a file-system location, the convention is to nonetheless use file-system-like values such as@/tmp.The default value is normally/tmp, but that can be changed at build time. On Windows, the default is empty, which means no Unix-domain socket is created by default. This parameter can only be set at server start.In addition to the socket file itself, which is named.s.PGSQL.nnnnwherennnnis the server's port number, an ordinary file named.s.PGSQL.nnnn.lockwill be created in each of theunix_socket_directoriesdirectories. Neither file should ever be removed manually. For sockets in the abstract namespace, no lock file is created."
unix_socket_group,string,"Sets the owning group of the Unix-domain socket(s). (The owning user of the sockets is always the user that starts the server.) In combination with the parameterunix_socket_permissionsthis can be used as an additional access control mechanism for Unix-domain connections. By default this is the empty string, which uses the default group of the server user. This parameter can only be set at server start.This parameter is not supported on Windows. Any setting will be ignored. Also, sockets in the abstract namespace have no file owner, so this setting is also ignored in that case."
unix_socket_permissions,integer,"Sets the access permissions of the Unix-domain socket(s). Unix-domain sockets use the usual Unix file system permission set. The parameter value is expected to be a numeric mode specified in the format accepted by thechmodandumasksystem calls. (To use the customary octal format the number must start with a0(zero).)The default permissions are0777, meaning anyone can connect. Reasonable alternatives are0770(only user and group, see alsounix_socket_group) and0700(only user). (Note that for a Unix-domain socket, only write permission matters, so there is no point in setting or revoking read or execute permissions.)This access control mechanism is independent of the one described inChapter 20.This parameter can only be set at server start.This parameter is irrelevant on systems, notably Solaris as of Solaris 10, that ignore socket permissions entirely. There, one can achieve a similar effect by pointingunix_socket_directoriesto a directory having search permission limited to the desired audience.Sockets in the abstract namespace have no file permissions, so this setting is also ignored in that case."
bonjour,boolean,Enables advertising the server's existence viaBonjour. The default is off. This parameter can only be set at server start.
bonjour_name,string,Specifies theBonjourservice name. The computer name is used if this parameter is set to the empty string''(which is the default). This parameter is ignored if the server was not compiled withBonjoursupport. This parameter can only be set at server start.
tcp_keepalives_idle,integer,"Specifies the amount of time with no network activity after which the operating system should send a TCP keepalive message to the client. If this value is specified without units, it is taken as seconds. A value of 0 (the default) selects the operating system's default. On Windows, setting a value of 0 will set this parameter to 2 hours, since Windows does not provide a way to read the system default value. This parameter is supported only on systems that supportTCP_KEEPIDLEor an equivalent socket option, and on Windows; on other systems, it must be zero. In sessions connected via a Unix-domain socket, this parameter is ignored and always reads as zero."
tcp_keepalives_interval,integer,"Specifies the amount of time after which a TCP keepalive message that has not been acknowledged by the client should be retransmitted. If this value is specified without units, it is taken as seconds. A value of 0 (the default) selects the operating system's default. On Windows, setting a value of 0 will set this parameter to 1 second, since Windows does not provide a way to read the system default value. This parameter is supported only on systems that supportTCP_KEEPINTVLor an equivalent socket option, and on Windows; on other systems, it must be zero. In sessions connected via a Unix-domain socket, this parameter is ignored and always reads as zero."
tcp_keepalives_count,integer,"Specifies the number of TCP keepalive messages that can be lost before the server's connection to the client is considered dead. A value of 0 (the default) selects the operating system's default. This parameter is supported only on systems that supportTCP_KEEPCNTor an equivalent socket option (which does not include Windows); on other systems, it must be zero. In sessions connected via a Unix-domain socket, this parameter is ignored and always reads as zero."
tcp_user_timeout,integer,"Specifies the amount of time that transmitted data may remain unacknowledged before the TCP connection is forcibly closed. If this value is specified without units, it is taken as milliseconds. A value of 0 (the default) selects the operating system's default. This parameter is supported only on systems that supportTCP_USER_TIMEOUT(which does not include Windows); on other systems, it must be zero. In sessions connected via a Unix-domain socket, this parameter is ignored and always reads as zero."
client_connection_check_interval,integer,"Sets the time interval between optional checks that the client is still connected, while running queries. The check is performed by polling the socket, and allows long running queries to be aborted sooner if the kernel reports that the connection is closed.This option relies on kernel events exposed by Linux, macOS, illumos and the BSD family of operating systems, and is not currently available on other systems.If the value is specified without units, it is taken as milliseconds. The default value is0, which disables connection checks. Without connection checks, the server will detect the loss of the connection only at the next interaction with the socket, when it waits for, receives or sends data.For the kernel itself to detect lost TCP connections reliably and within a known timeframe in all scenarios including network failure, it may also be necessary to adjust the TCP keepalive settings of the operating system, or thetcp_keepalives_idle,tcp_keepalives_intervalandtcp_keepalives_countsettings ofPostgreSQL."
authentication_timeout,integer,"Maximum amount of time allowed to complete client authentication. If a would-be client has not completed the authentication protocol in this much time, the server closes the connection. This prevents hung clients from occupying a connection indefinitely. If this value is specified without units, it is taken as seconds. The default is one minute (1m). This parameter can only be set in thepostgresql.conffile or on the server command line."
password_encryption,enum,"When a password is specified inCREATE ROLEorALTER ROLE, this parameter determines the algorithm to use to encrypt the password. Possible values arescram-sha-256, which will encrypt the password with SCRAM-SHA-256, andmd5, which stores the password as an MD5 hash. The default isscram-sha-256.Note that older clients might lack support for the SCRAM authentication mechanism, and hence not work with passwords encrypted with SCRAM-SHA-256. SeeSection 20.5for more details."
scram_iterations,integer,"The number of computational iterations to be performed when encrypting a password using SCRAM-SHA-256. The default is4096. A higher number of iterations provides additional protection against brute-force attacks on stored passwords, but makes authentication slower. Changing the value has no effect on existing passwords encrypted with SCRAM-SHA-256 as the iteration count is fixed at the time of encryption. In order to make use of a changed value, a new password must be set."
krb_server_keyfile,string,"Sets the location of the server's Kerberos key file. The default isFILE:/usr/local/pgsql/etc/krb5.keytab(where the directory part is whatever was specified assysconfdirat build time; usepg_config --sysconfdirto determine that). If this parameter is set to an empty string, it is ignored and a system-dependent default is used. This parameter can only be set in thepostgresql.conffile or on the server command line. SeeSection 20.6for more information."
krb_caseins_users,boolean,Sets whether GSSAPI user names should be treated case-insensitively. The default isoff(case sensitive). This parameter can only be set in thepostgresql.conffile or on the server command line.
gss_accept_delegation,boolean,Sets whether GSSAPI delegation should be accepted from the client. The default isoffmeaning credentials from the client willnotbe accepted. Changing this toonwill make the server accept credentials delegated to it from the client. This parameter can only be set in thepostgresql.conffile or on the server command line.
ssl,boolean,EnablesSSLconnections. This parameter can only be set in thepostgresql.conffile or on the server command line. The default isoff.
