knob_name,type,description,DBMS,cluster
activate_all_roles_on_login,Boolean,"The MySQL configuration parameter activate_all_roles_on_login controls whether all available roles associated with the user account will be enabled upon login. When set to 'ON', users will automatically have access to all roles granted to them without the need to explicitly activate each role separately. This feature is available starting from MySQL version 8.0.17.",MySQL,0
admin_ssl_ca,File name,The MySQL configuration parameter admin_ssl_ca is used to specify the path to the X.509 certificate authority file in PEM format for SSL connections established by administrative clients. This parameter is applicable in MySQL 5.7 and later versions. It facilitates the validation of SSL connections established by administrative clients with the MySQL server.,MySQL,0
admin_ssl_capath,Directory name,The MySQL configuration parameter admin_ssl_capath specifies the file path to the directory containing trusted CA certificates for verifying server certificates in SSL connections used by administrative accounts. This parameter is available in MySQL 5.7.22 and later versions. It allows MySQL administrative users to establish secure SSL connections by defining the path where the trusted certificate authority (CA) certificates are stored.,MySQL,0
admin_ssl_cert,File name,The `admin_ssl_cert` MySQL configuration parameter specifies the path to the SSL certificate file used by the server for secure connections with administrative clients. This parameter is applicable when MySQL is configured to require SSL connections for administrative tasks. It is important to provide the correct path to the SSL certificate file to ensure secure communication between the server and administrative clients.,MySQL,0
admin_ssl_cipher,String,"The `admin_ssl_cipher` parameter in MySQL enables specifying the cipher for connections using SSL between the MySQL server and the MySQL Enterprise Monitor. This parameter allows administrators to configure the encryption strength for the communication channel, ensuring secure data transfer over SSL. It is applicable to MySQL versions that support MySQL Enterprise Monitor integration.",MySQL,0
admin_ssl_crl,File name,The MySQL configuration parameter `admin_ssl_crl` specifies the file path to the Certificate Revocation List (CRL) file used by the server for checking the revocation status of X.509 certificates presented by clients for authentication. This parameter is applicable only when MySQL is built with OpenSSL support and is used to enhance security by ensuring that client certificates have not been revoked. The `admin_ssl_crl` parameter is available starting from MySQL 5.7.26 and 8.0.16 versions.,MySQL,0
admin_ssl_crlpath,Directory name,The MySQL configuration parameter admin_ssl_crlpath specifies the file path to the Certificate Revocation List (CRL) for SSL verification when connecting as an administrator. This parameter is applicable in MySQL 5.7.10 and later versions. It allows MySQL administrators to enhance security by checking the revocation status of SSL certificates used for connections.,MySQL,0
admin_ssl_key,File name,"The `admin_ssl_key` MySQL configuration parameter specifies the path to the private key file used for establishing SSL connections between the MySQL server and the administrator client. This parameter is used to enable secure communication for administrative tasks, such as connecting via MySQL client tools in encrypted mode. It is available in MySQL 5.7 and later versions.",MySQL,0
admin_tls_ciphersuites,String,"The `admin_tls_ciphersuites` MySQL configuration parameter specifies the acceptable TLS ciphersuites for connections handled by administrative accounts, such as those used to manage the server over a secure connection. This parameter allows administrators to fine-tune the security settings for these connections, ensuring only specific ciphersuites are allowed for administrative tasks. `admin_tls_ciphersuites` is available starting from MySQL 8.0.26.",MySQL,0
admin_tls_version,String,"The `admin_tls_version` MySQL configuration parameter specifies the version of TLS protocol used for secure connections between MySQL administrative clients and the server. It determines the allowed TLS versions for administrative connections, ensuring secure communication between clients and the MySQL server. This parameter is available in MySQL 5.7.47 and later versions.",MySQL,0
audit_log_connection_policy,Enumeration,"The `audit_log_connection_policy` parameter in MySQL specifies the connection audit logging policy, determining the level of detail to be recorded for each connection attempt. This parameter allows setting the level of details to be included in the audit log for connection-related events, aiding in monitoring and compliance requirements. It is available in MySQL Community Server version 8.0.20 and later.",MySQL,0
audit_log_disable,Boolean,"Parameter Name: audit_log_disable

Description:
- The `audit_log_disable` parameter in MySQL server controls whether the audit log plugin is disabled or enabled. When set to 1, the audit log plugin is disabled, preventing audit logging functionality. Setting it to 0 enables the audit log plugin to log audit events according to the defined configurations.

(Note: The `audit_log_disable` parameter is available starting from MySQL 8.0.20 and later versions.)",MySQL,0
audit_log_exclude_accounts,String,"The `audit_log_exclude_accounts` parameter in MySQL specifies a list of account names that should be excluded from audit logging. When this parameter is set, the specified accounts' actions will not be recorded in the audit log, providing a way to prevent certain accounts from being audited. This parameter was introduced in MySQL 5.7.20 for use with the MySQL Enterprise Edition.",MySQL,0
audit_log_flush,Boolean,"The `audit_log_flush` MySQL configuration parameter specifies the frequency at which the audit log is written to disk. Setting this parameter allows for the control of how often the audit log data is flushed from memory to disk storage, helping to ensure data integrity while managing performance overhead. This parameter is available in MySQL Server 5.7.20 and later versions.",MySQL,0
audit_log_format_unix_timestamp,Boolean,"The `audit_log_format_unix_timestamp` MySQL configuration parameter specifies the format for recording timestamps in the audit log when using the JSON format. When enabled, this option outputs timestamps in Unix timestamp format. This feature was introduced in MySQL 8.0.20 for auditing purposes.",MySQL,0
audit_log_include_accounts,String,"The `audit_log_include_accounts` configuration parameter in MySQL is used to specify a comma-separated list of MySQL user accounts whose activities should be included in the audit log. This parameter allows you to focus audit logging on specific user accounts, helping to track and monitor their actions within the MySQL server. This parameter is available in MySQL version 5.7.20 and higher.",MySQL,0
audit_log_max_size,Integer,"The `audit_log_max_size` parameter in MySQL specifies the maximum size in bytes for the audit log file. When the audit log reaches this size, MySQL ceases logging operations to prevent the log file from growing indefinitely. This parameter helps control the audit log file size and can be set to limit disk space usage.",MySQL,0
audit_log_password_history_keep_days,Integer,"The `audit_log_password_history_keep_days` MySQL configuration parameter specifies the duration in days for retaining password history in the audit log. Password changes are recorded in the audit log, and this parameter determines how long the history of old passwords should be kept before being removed. This parameter is available in MySQL versions 8.0.13 and later.",MySQL,0
audit_log_prune_seconds,Integer,"The `audit_log_prune_seconds` MySQL configuration parameter specifies the time interval, in seconds, for automatically removing older audit log files. Setting this parameter determines how frequently the MySQL server performs the pruning of audit log files based on when they were last modified. The default value for this parameter is 1 day (86400 seconds). This parameter is available starting from MySQL 8.0.24.",MySQL,0
audit_log_read_buffer_size,Integer,The audit_log_read_buffer_size parameter in MySQL defines the size of the buffer used for reading entries from the audit log. This parameter can be adjusted to optimize audit log reading performance based on the system requirements. It does not affect the audit log writing process. This parameter is available in MySQL version 8.0 and above.,MySQL,0
audit_log_rotate_on_size,Integer,"The `audit_log_rotate_on_size` parameter in MySQL specifies whether the audit log should be rotated based on its size. When set to `ON`, the audit log is rotated when it reaches the specified size limit, as defined by the `audit_log_rotate_size` parameter. This parameter is available in MySQL Server 5.7.20 and later versions.",MySQL,0
audit_log_statement_policy,Enumeration,"The `audit_log_statement_policy` parameter in MySQL defines the level of detail logged for audited statements in the audit log. It allows you to specify whether to log all statements, only failed statements, or no statements. This parameter is available starting from MySQL 5.7. MySQL 8.0 extends its functionality.",MySQL,0
authentication_kerberos_service_principal,String,The authentication_kerberos_service_principal MySQL configuration parameter specifies the Kerberos service principal name used for authentication. It allows configuring MySQL to authenticate clients against a Kerberos server using the specified service principal name. This parameter is available in MySQL 8.0 and newer versions.,MySQL,0
authentication_ldap_sasl_auth_method_name,String,The `authentication_ldap_sasl_auth_method_name` MySQL configuration parameter specifies the SASL authentication method name used to authenticate the LDAP user with the server. This parameter is relevant for the LDAP authentication plugin when using SASL authentication in MySQL Server. It is not deprecated and is available in MySQL 8.0 and later versions.,MySQL,0
authentication_ldap_sasl_bind_base_dn,String,The MySQL configuration parameter authentication_ldap_sasl_bind_base_dn specifies the base distinguished name (DN) for LDAP authentication SASL binds. It is used to define the starting point in the directory tree for LDAP searches during SASL authentication. This parameter is applicable to MySQL versions that support LDAP authentication and SASL mechanisms.,MySQL,0
authentication_ldap_sasl_bind_root_dn,String,The `authentication_ldap_sasl_bind_root_dn` parameter in MySQL specifies the DN (Distinguished Name) used by the server to bind when SASL (Simple Authentication and Security Layer) is enabled for LDAP authentication. This parameter is utilized when the server needs to bind to the LDAP server using a specific DN before attempting user authentication. It is typically set to the root DN of the LDAP directory.,MySQL,0
authentication_ldap_sasl_bind_root_pwd,String,The `authentication_ldap_sasl_bind_root_pwd` parameter in MySQL is used to specify the password for the SASL bind operation when authenticating with an LDAP server. It is part of the LDAP authentication process and is required when connecting to the LDAP server with SASL authentication. This parameter is available in MySQL 5.5.16 and later versions.,MySQL,0
authentication_ldap_sasl_ca_path,String,The `authentication_ldap_sasl_ca_path` parameter in MySQL is used to specify the path to the directory containing SSL CA certificates for LDAP server certificate verification during SASL authentication. This parameter is applicable when using LDAP authentication with the Cyrus SASL library. It is available in MySQL 5.7 and later versions.,MySQL,0
authentication_ldap_sasl_connect_timeout,Integer,"The `authentication_ldap_sasl_connect_timeout` MySQL configuration parameter specifies the time limit, in seconds, for connecting to an LDAP server when using SASL authentication. This parameter is relevant when MySQL is configured to authenticate users against an LDAP server using SASL (Simple Authentication and Security Layer) mechanisms. It controls the maximum duration the server will wait for a connection attempt before considering it as failed. This parameter is available in MySQL 5.7 and later versions.",MySQL,0
authentication_ldap_sasl_group_search_attr,String,The `authentication_ldap_sasl_group_search_attr` MySQL configuration parameter is used to specify the LDAP attribute to be used for searching when locating groups. This parameter is applicable if LDAP authentication is enabled and SASL is supported in the server configuration. The parameter helps in defining the attribute used to search groups in LDAP during authentication processes.,MySQL,0
authentication_ldap_sasl_group_search_filter,String,The `authentication_ldap_sasl_group_search_filter` parameter in MySQL controls the LDAP authentication plugin's group search filter when using SASL authentication. It allows specifying a filter pattern to search for user groups within the LDAP directory. This parameter is available in MySQL versions where LDAP authentication and SASL support are present.,MySQL,0
authentication_ldap_sasl_init_pool_size,Integer,The `authentication_ldap_sasl_init_pool_size` parameter in MySQL configures the size of the LDAP connection pool created when performing LDAP-based authentication with SASL (Simple Authentication and Security Layer). This setting impacts the initial number of connections established for LDAP authentication to handle concurrent authentications efficiently. It is applicable to MySQL server versions supporting LDAP authentication with SASL.,MySQL,0
authentication_ldap_sasl_log_status,Integer,"The MySQL configuration parameter `authentication_ldap_sasl_log_status` is not a standard MySQL server parameter based on the official MySQL documentation. If you are looking for LDAP-related authentication configuration in MySQL, you may consider `ldap_server_host`, `ldap_server_port`, and other LDAP-related options for setting up LDAP authentication through `CREATE SERVER` and `CREATE USER` statements. Always refer to the latest MySQL documentation for the most up-to-date configuration options.",MySQL,0
authentication_ldap_sasl_max_pool_size,Integer,The `authentication_ldap_sasl_max_pool_size` parameter in MySQL configures the maximum number of connections allowed in the pool used for LDAP authentication with SASL (Simple Authentication and Security Layer). This setting helps control resource usage and can be adjusted to optimize performance based on LDAP authentication requirements. Ensure to set this value appropriately to efficiently manage the connections needed for LDAP authentication in MySQL.,MySQL,0
authentication_ldap_sasl_referral,Boolean,The `authentication_ldap_sasl_referral` MySQL configuration parameter is used to specify the LDAP referral behavior when using SASL authentication with LDAP. This parameter controls how the server should handle referrals received from the LDAP server during the authentication process. It allows the MySQL server to follow LDAP referrals to complete the authentication process securely. This parameter is available in MySQL 8.0 and later versions.,MySQL,0
authentication_ldap_sasl_response_timeout,Integer,"The authentication_ldap_sasl_response_timeout MySQL configuration parameter specifies the timeout, in milliseconds, for receiving responses during the LDAP SASL authentication process. This parameter is relevant for MySQL servers that are configured to use LDAP for user authentication. It helps control the duration within which the server waits for responses from the LDAP server during the authentication process.",MySQL,0
authentication_ldap_sasl_server_host,String,The `authentication_ldap_sasl_server_host` MySQL configuration parameter specifies the hostname or IP address of the LDAP server used for SASL-based authentication. This parameter is used when MySQL server needs to authenticate users against an LDAP directory using the SASL (Simple Authentication and Security Layer) protocol. The value should be set to the address of the LDAP server that supports SASL authentication.,MySQL,0
authentication_ldap_sasl_server_port,Integer,The `authentication_ldap_sasl_server_port` MySQL configuration parameter specifies the port number on which the LDAP  Simple Authentication and Security Layer (SASL) server listens for connections. This parameter is utilized for configuring LDAP authentication with SASL support in MySQL Server. It is recommended to consult the MySQL documentation for detailed information on setting up and utilizing this parameter effectively.,MySQL,0
authentication_ldap_sasl_tls,Boolean,The `authentication_ldap_sasl_tls` MySQL configuration parameter enables the use of TLS (Transport Layer Security) for securing communication during LDAP authentication. This parameter is used to enforce secure connections between the MySQL server and the LDAP server when using Simple Authentication and Security Layer (SASL) for authentication. It is available in MySQL 5.7 and later versions.,MySQL,0
authentication_ldap_sasl_user_search_attr,String,"The `authentication_ldap_sasl_user_search_attr` configuration parameter in MySQL defines the LDAP attribute used to search for the user during Simple Authentication and Security Layer (SASL) LDAP authentication. This parameter specifies the LDAP attribute that uniquely identifies the user, allowing MySQL to locate and authenticate the user in the LDAP directory. The parameter is applicable for MySQL versions 5.6 and later.",MySQL,0
authentication_ldap_simple_auth_method_name,String,The authentication_ldap_simple_auth_method_name MySQL configuration parameter specifies the simple authentication method name for LDAP authentication. This parameter is used when authenticating MySQL users with an LDAP server using the simple authentication method. It is available in MySQL 8.0 and onwards.,MySQL,0
